Width,Depth,Results

,100,1,64,64,128,256,128,128,256,256,512,512,
,100,2,512,512,512,512,512,512,1024,1024,1024,1024,
,100,3,256,512,512,512,1024,1024,1024,1024,1024,2048,
,100,4,512,512,1024,1024,1024,1024,1024,1024,1024,2048,
,100,5,1024,1024,1024,1024,1024,1024,2048,2048,2048,2048,
,100,6,1024,1024,1024,2048,2048,2048,2048,2048,2048,2048,
,100,7,1024,1024,1024,2048,2048,2048,2048,2048,2048,2048,
,100,8,1024,1024,2048,2048,2048,2048,2048,2048,2048,2048,
,100,9,512,512,1024,1024,1024,2048,2048,2048,2048,2048,
,100,10,1024,1024,1024,2048,2048,2048,2048,2048,4096,4096,
,100,1,128,256,256,512,512,512,512,512,512,512,
,300,1,256,128,128,128,256,256,256,512,512,512,
,500,1,128,64,128,128,128,256,256,256,256,256,
,700,1,128,64,64,128,128,256,256,256,256,512,
,900,1,64,128,128,128,128,128,128,256,512,512,
,1100,1,128,64,128,128,128,128,256,256,256,512,
,1300,1,128,128,128,256,256,256,256,512,512,512,
,1500,1,128,128,256,256,256,256,256,256,256,512,
,1700,1,64,128,128,128,128,128,128,256,256,256,
,1900,1,64,128,128,128,128,256,128,256,256,512
